name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Honda Amaze 2012,2012,92400.0,154667.0,Petrol,Individual,manual,Fourth & Above Owner
Tata Nexon 2020,2020,354300.0,57903.0,Petrol,dealer,Manual,Third Owner
Mahindra XUV500 2021,2021,704000.0,53153.0,Diesel ,individual,Manual,First Owner
Tata Altroz 2012,2012,136800.0,133856.0,Diesel,Individual,manual,Test Drive Car
Maruti Swift 2022,2022,474900.0,29304.0,Diesel ,INDIVIDUAL,MANUAL,First Owner
Maruti Ertiga 2012,2012,80300.0,151358.0, Petrol,Dealer,MANUAL,Second Owner
Tata Nexon 2019,2019,430800.0,66444.0,DIESEL,INDIVIDUAL,Manual,First Owner
Volkswagen Vento 2019,2019,408200.0,78320.0,DIESEL,DEALER ,manual,Second Owner
Hyundai Creta 2018,2018,225700.0,83540.0,PETROL,Individual,MANUAL,Third Owner
Volkswagen Vento 2007,2007,61500.0,206847.0,cng,INDIVIDUAL,MANUAL,Second Owner
Renault Duster 2008,2008,72200.0,204018.0,,DEALER ,Automatic,First Owner
Audi Q3 2019,2019,2328500.0,52616.0,diesel,INDIVIDUAL,MANUAL,First Owner
Tata Nexon 2018,2018,418500.0,64596.0,DIESEL,DEALER ,MANUAL,First Owner
Honda City 2018,2018,330400.0,80924.0, Petrol,DEALER , Automatic,Third Owner
Audi Q3 2013,2013,991700.0,153439.0,diesel,individual,MANUAL,First Owner
Honda Jazz 2020,2020,355000.0,53008.0,cng,INDIVIDUAL,Manual,Third Owner
Hyundai Santro 2021,2021,482600.0,46604.0,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Verna 2015,2015,217900.0,123048.0,electric,INDIVIDUAL,Manual,First Owner
Renault Duster 2021,2021,433100.0,46543.0,Petrol,Individual,MANUAL,First Owner
Mahindra Bolero 2016,2016,228300.0,108449.0,Diesel,individual,MANUAL,Fourth & Above Owner
Ford Aspire 2009,2009,83100.0,187767.0,Petrol,Individual,Manual,Second Owner
Tata Tiago 2014,2014,187000.0,128497.0,Petrol,dealer,manual,First Owner
Toyota Etios 2018,2018,412100.0,86834.0,petrol,individual,Manual,Third Owner
Hyundai i20 2013,2013,141600.0,140120.0, Petrol,Individual,manual,Second Owner
Skoda Superb 2021,2021,624100.0,45746.0, Petrol,DEALER ,Manual,First Owner
Maruti Wagon R 2009,2009,77300.0,194262.0,petrol,Individual,manual,First Owner
Tata Altroz 2020,2020,357500.0,56447.0, Petrol,Individual,Manual,Third Owner
Mahindra Thar 2021,2021,547500.0,50201.0,diesel,trustmark dealer,Manual,Second Owner
Ford EcoSport 2012,2012,93500.0,164474.0,PETROL,Individual,manual,Fourth & Above Owner
Volkswagen Ameo 2008,2008,70100.0,188998.0,Diesel,individual,manual,Fourth & Above Owner
Hyundai Verna 2017,2017,299600.0,86691.0,petrol,DEALER ,MANUAL,Second Owner
Maruti Ertiga 2017,2017,184600.0,93780.0,Diesel ,Dealer,MANUAL,Fourth & Above Owner
Mahindra Thar 2020,2020,450900.0,64649.0,Diesel ,INDIVIDUAL,manual,First Owner
Renault Kwid 2010,2010,78400.0,180149.0,diesel,dealer,Manual,First Owner
Hyundai Santro 2009,2009,86700.0,196177.0,petrol,INDIVIDUAL,manual,First Owner
Skoda Rapid 2013,2013,207400.0,133140.0,cng,dealer,MANUAL,First Owner
Tata Tiago 2019,2019,316400.0,53520.0,Diesel ,DEALER ,MANUAL,Fourth & Above Owner
Maruti Wagon R 2018,2018,232900.0,83445.0,PETROL,individual,manual,First Owner
Tata Tiago 2014,2014,124900.0,134345.0,diesel,Dealer,MANUAL,Second Owner
Volkswagen Ameo 2008,2008,53600.0,202582.0, Petrol,dealer,MANUAL,Fourth & Above Owner
Mahindra Bolero 2023,2023,994300.0,28663.0,Petrol,Individual,Automatic,First Owner
Ford Aspire 2012,2012,122700.0,157026.0, Petrol,Individual,MANUAL,First Owner
Hyundai Verna 2013,2013,127200.0,144481.0,petrol,INDIVIDUAL,Manual,Second Owner
Hyundai Santro 2012,2012,150000.0,,Diesel,individual,Manual,First Owner
Volkswagen Polo 2012,2012,170100.0,139399.0,,dealer,MANUAL,First Owner
Tata Safari 2022,2022,619700.0,27934.0,lpg,dealer,Manual,First Owner
Honda Jazz 2010,2010,94600.0,184201.0,Petrol,Dealer,manual,Second Owner
Toyota Etios 2009,2009,95700.0,184629.0,Petrol,Individual,Manual,Second Owner
  Ford EcoSport 2021  ,2021,598100.0,39825.0,diesel,dealer,manual,First Owner
Hyundai Grand i10 2017,2017,263900.0,88777.0,diesel,INDIVIDUAL,MANUAL,First Owner
Honda Jazz 2017,2017,423800.0,75920.0, Petrol,INDIVIDUAL, Automatic,First Owner
Maruti Dzire 2010,2010,92100.0,178459.0,PETROL,DEALER ,Manual,First Owner
Honda Civic 2011,2011,150500.0,173815.0,Diesel ,Trustmark Dealer,manual,First Owner
Maruti Baleno 2010,2010,68400.0,178819.0,Petrol,dealer,MANUAL,First Owner
Hyundai Venue 2013,2013,156800.0,149037.0,PETROL,individual, Automatic,First Owner
BMW X1 2012,2012,711300.0,147371.0,CNG,individual,MANUAL,Second Owner
Volkswagen Vento 2013,2013,146500.0,134918.0,petrol,Trustmark Dealer,manual,First Owner
Tata Tiago 2008,2008,63000.0,198903.0,diesel,INDIVIDUAL,MANUAL,Third Owner
Audi Q3 2018,2018,2214500.0,70066.0,Diesel,Trustmark Dealer,manual,First Owner
Hyundai i20 2011,2011,115300.0,171158.0,Diesel,INDIVIDUAL,MANUAL,Second Owner
Ford Endeavour 2015,2015,161800.0,117589.0,cng,INDIVIDUAL,MANUAL,Second Owner
Maruti Swift 2017,2017,176100.0,91052.0, Petrol,Dealer,manual,Third Owner
Honda Civic 2016,2016,327300.0,93529.0,Diesel ,Individual,Manual,First Owner
Tata Harrier 2015,2015,183300.0,114567.0,petrol,Dealer,manual,Second Owner
Mahindra Bolero 2022,2022,570200.0,35256.0,petrol,Dealer,manual,Second Owner
Hyundai Venue 2016,2016,239200.0,92331.0,CNG,individual,automatic,Second Owner
Hyundai i20 2011,2011,111200.0,150771.0,petrol,trustmark dealer,Manual,First Owner
Maruti Swift 2014,2014,83700.0,128768.0,PETROL,DEALER ,Manual,Fourth & Above Owner
BMW 3 Series 2014,2014,1130600.0,131313.0,Diesel ,individual, Automatic,Third Owner
Hyundai Santro 2022,2022,582400.0,48066.0,Diesel ,Individual,MANUAL,Second Owner
Ford Aspire 2023,2023,675500.0,34113.0,,individual,Manual,First Owner
Tata Safari 2011,2011,115300.0,169583.0,petrol,dealer,Manual,Second Owner
Tata Safari 2012,2012,108500.0,142669.0,petrol,dealer,manual,Second Owner
Hyundai i20 2015,2015,227300.0,124809.0,Petrol,Trustmark Dealer, Automatic,First Owner
Tata Safari 2022,2022,531700.0,31520.0,PETROL,DEALER ,MANUAL,Test Drive Car
Renault Duster 2020,2020,375400.0,47009.0,petrol,trustmark dealer,MANUAL,First Owner
Hyundai i20 2012,2012,113700.0,143893.0,Diesel,individual,manual,Second Owner
Hyundai Santro 2023,2023,794000.0,17244.0,Diesel,dealer,manual,First Owner
Tata Safari 2011,2011,96200.0,158913.0,LPG,individual,Automatic,Third Owner
Hyundai Creta 2010,2010,101900.0,180072.0,petrol,dealer,MANUAL,Test Drive Car
Maruti Swift 2019,2019,419300.0,46568.0, Petrol,Dealer,Automatic,First Owner
Mahindra Bolero 2016,2016,381200.0,104057.0,DIESEL,Individual,MANUAL,First Owner
Honda Jazz 2014,2014,190400.0,132613.0, Petrol,DEALER ,Manual,First Owner
Volkswagen Polo 2012,2012,137300.0,156791.0,petrol,DEALER ,MANUAL,First Owner
Renault Triber 2013,2013,83400.0,137600.0,Petrol,Dealer,MANUAL,Fourth & Above Owner
Skoda Superb 2013,2013,283200.0,148949.0,Diesel,trustmark dealer,automatic,First Owner
  Volkswagen Vento 2022  ,2022,748400.0,28834.0,petrol,Individual,MANUAL,First Owner
Skoda Superb 2023,2023,929500.0,6205.0,PETROL,DEALER ,Manual,Second Owner
Mahindra Scorpio 2010,2010,105900.0,188145.0,Diesel,individual,manual,Third Owner
Maruti Ertiga 2023,2023,554300.0,28341.0,Diesel ,dealer,manual,First Owner
Renault Triber 2018,2018,268700.0,75247.0,Diesel,Dealer,manual,First Owner
Volkswagen Vento 2013,2013,166300.0,143913.0,Petrol,individual,manual,Test Drive Car
Honda Civic 2019,2019,442300.0,67921.0, Petrol,INDIVIDUAL, Automatic,First Owner
Maruti Dzire 2009,2009,58100.0,186088.0,PETROL,Individual,Manual,Second Owner
Ford EcoSport 2020,2020,538100.0,32980.0,,dealer,automatic,Second Owner
Volkswagen Ameo 2023,2023,826500.0,33095.0,Diesel,trustmark dealer,manual,First Owner
Volkswagen Polo 2007,2007,79400.0,215101.0,Diesel,Dealer,manual,Second Owner
Maruti Swift 2020,2020,418200.0,53309.0,Diesel ,individual, Automatic,First Owner
Ford Endeavour 2013,2013,148500.0,155153.0,Petrol,individual,Manual,First Owner
Hyundai Verna 2009,2009,94600.0,184968.0,Diesel ,INDIVIDUAL,MANUAL,First Owner
Mahindra XUV300 2009,2009,88700.0,193951.0,Petrol,dealer,Manual,First Owner
Ford Endeavour 2014,2014,226600.0,114092.0,Electric,Individual, Automatic,Second Owner
Toyota Etios 2007,2007,92900.0,218259.0,Diesel ,individual, Automatic,Third Owner
Honda Jazz 2018,2018,345200.0,84005.0,PETROL,dealer,MANUAL,First Owner
Maruti Baleno 2017,2017,214200.0,94336.0,petrol,dealer,MANUAL,Third Owner
Volkswagen Polo 2009,2009,105100.0,197695.0,PETROL,INDIVIDUAL,manual,Test Drive Car
Ford Aspire 2008,2008,88500.0,197566.0,Diesel ,DEALER ,Manual,First Owner
Volkswagen Ameo 2015,2015,259800.0,121795.0,Diesel,individual,manual,First Owner
Maruti Wagon R 2013,2013,119600.0,132583.0, Petrol,Individual,Manual,First Owner
Maruti Dzire 2007,2007,62900.0,212963.0,Diesel ,Dealer,manual,First Owner
Maruti Wagon R 2021,2021,403800.0,34916.0,diesel,dealer,manual,First Owner
Mahindra Scorpio 2015,2015,214200.0,118308.0, Petrol,dealer,manual,Third Owner
Renault Duster 2007,2007,49100.0,222142.0, Petrol,DEALER ,manual,Second Owner
Skoda Octavia 2017,2017,471000.0,90968.0,DIESEL,dealer,manual,First Owner
BMW 5 Series 2011,2011,748800.0,160462.0,Diesel,trustmark dealer,automatic,Second Owner
Toyota Etios 2009,2009,82000.0,185255.0,petrol,Dealer,Manual,Fourth & Above Owner
Honda City 2008,2008,56700.0,195730.0,petrol,Dealer,Manual,Fourth & Above Owner
BMW 3 Series 2008,2008,270400.0,,petrol,INDIVIDUAL,manual,Fourth & Above Owner
Toyota Fortuner 2020,2020,598500.0,50844.0,PETROL,trustmark dealer,MANUAL,Second Owner
Ford Aspire 2013,2013,125900.0,137045.0,lpg,Individual,MANUAL,Second Owner
Volkswagen Ameo 2020,2020,585600.0,50572.0,DIESEL,Individual,MANUAL,First Owner
BMW 3 Series 2014,2014,1106600.0,123760.0,Diesel,individual,MANUAL,First Owner
Maruti Baleno 2017,2017,200400.0,99053.0,petrol,Dealer,manual,Second Owner
Hyundai Creta 2011,2011,73000.0,159884.0,PETROL,Dealer,Manual,Fourth & Above Owner
Toyota Innova 2017,2017,422900.0,86986.0,Diesel,INDIVIDUAL,Manual,First Owner
Hyundai Venue 2018,2018,348000.0,86392.0,Petrol,individual,Manual,First Owner
Honda Amaze 2020,2020,475000.0,56459.0,Diesel ,INDIVIDUAL,MANUAL,Third Owner
Ford Figo 2009,2009,122900.0,188383.0,petrol,INDIVIDUAL,Automatic,First Owner
Hyundai Creta 2022,2022,528500.0,19204.0,petrol,individual,MANUAL,First Owner
Hyundai Creta 2011,2011,111300.0,179601.0,Petrol,INDIVIDUAL,manual,First Owner
Ford Figo 2008,2008,95900.0,201494.0,Diesel ,Dealer,Manual,First Owner
Toyota Fortuner 2018,2018,428400.0,75466.0,diesel,individual,manual,Second Owner
Maruti Wagon R 2008,2008,54400.0,200508.0, Petrol,INDIVIDUAL,Manual,First Owner
Renault Duster 2019,2019,307700.0,71982.0,Petrol,individual, Automatic,Second Owner
Audi A6 2017,2017,1365600.0,88517.0,Diesel,individual,manual,Third Owner
Maruti Swift 2010,2010,78900.0,173103.0, Petrol,Individual,MANUAL,First Owner
Tata Harrier 2013,2013,154400.0,151693.0,petrol,Trustmark Dealer,automatic,First Owner
Mahindra Scorpio 2016,2016,235000.0,109004.0,lpg,dealer,MANUAL,Second Owner
Audi Q3 2017,2017,1478200.0,95632.0,Petrol,dealer,Manual,Second Owner
Maruti Ertiga 2012,2012,74200.0,140115.0,PETROL,individual,manual,First Owner
Maruti Dzire 2019,2019,319400.0,67526.0,PETROL,Dealer,MANUAL,First Owner
Tata Nexon 2009,2009,83000.0,183070.0,petrol,trustmark dealer,manual,First Owner
Maruti Swift 2016,2016,155000.0,111740.0, Petrol,DEALER ,MANUAL,Second Owner
Volkswagen Polo 2007,2007,88400.0,209561.0,CNG,Dealer,Automatic,First Owner
Audi Q3 2012,2012,666000.0,148223.0,PETROL,Individual,Manual,Second Owner
Ford EcoSport 2008,2008,74200.0,209739.0,PETROL,Individual,automatic,Third Owner
Maruti Ertiga 2011,2011,86100.0,159636.0,diesel,trustmark dealer,Manual,First Owner
Maruti Wagon R 2017,2017,252500.0,103396.0,diesel,DEALER ,manual,First Owner
Honda Amaze 2010,2010,96800.0,172460.0,Petrol,individual,Manual,Second Owner
Audi A4 2020,2020,2884100.0,61897.0,Petrol,INDIVIDUAL,Manual,First Owner
Honda WR-V 2012,2012,145700.0,157583.0,diesel,individual,Manual,First Owner
Hyundai Grand i10 2015,2015,213800.0,108369.0,Diesel,Individual,MANUAL,First Owner
Mahindra XUV300 2013,2013,172600.0,132790.0,Petrol,Individual,MANUAL,First Owner
Maruti Ertiga 2011,2011,75200.0,172086.0, Petrol,individual,manual,Third Owner
Honda Jazz 2008,2008,84800.0,195975.0,petrol,individual,MANUAL,First Owner
Maruti Dzire 2018,2018,269900.0,74114.0,petrol,Individual,Manual,First Owner
Toyota Fortuner 2019,2019,525500.0,56942.0,cng,trustmark dealer,Manual,First Owner
Maruti Alto 2015,2015,151700.0,112763.0,petrol,individual,MANUAL,Second Owner
Toyota Yaris 2022,2022,1043900.0,24388.0,Diesel ,Dealer,MANUAL,Test Drive Car
Volkswagen Polo 2008,2008,97300.0,191677.0,Petrol,individual,manual,First Owner
Mahindra XUV300 2013,2013,210100.0,141581.0,DIESEL,individual,manual,First Owner
Mahindra Scorpio 2022,2022,724900.0,37069.0,PETROL,Trustmark Dealer,Manual,First Owner
Ford EcoSport 2016,2016,259800.0,111241.0,electric,individual,Manual,First Owner
Maruti Ertiga 2011,2011,82900.0,179163.0,DIESEL,individual,manual,Second Owner
Toyota Fortuner 2019,2019,478500.0,68097.0,Petrol,DEALER ,Manual,Second Owner
Mahindra Scorpio 2021,2021,747600.0,34690.0,Diesel,Dealer,manual,First Owner
  Mahindra XUV500 2010  ,2010,121500.0,181752.0,diesel,Trustmark Dealer,MANUAL,Second Owner
Honda Jazz 2015,2015,162800.0,124092.0,diesel,individual,MANUAL,Third Owner
BMW 5 Series 2007,2007,288600.0,226482.0,petrol,INDIVIDUAL,Manual,Fourth & Above Owner
Tata Nexon 2017,2017,258700.0,87916.0,DIESEL,INDIVIDUAL,MANUAL,First Owner
Ford Figo 2020,2020,444600.0,54731.0,petrol,Dealer,Manual,First Owner
Tata Altroz 2015,2015,237800.0,107060.0,Diesel,dealer,MANUAL,Test Drive Car
Mahindra Thar 2009,2009,105200.0,193188.0,diesel,DEALER ,MANUAL,First Owner
Ford Endeavour 2014,2014,214900.0,,Petrol,INDIVIDUAL, Automatic,Second Owner
  Hyundai i20 2011  ,2011,97600.0,174060.0,Diesel,Individual,MANUAL,Second Owner
Mahindra XUV500 2007,2007,97700.0,,petrol,Individual,manual,First Owner
Honda WR-V 2009,2009,121500.0,197057.0,diesel,INDIVIDUAL,manual,First Owner
Hyundai i20 2008,2008,62500.0,195236.0,petrol,Trustmark Dealer,Manual,Third Owner
Maruti Ertiga 2010,2010,77600.0,178202.0,PETROL,individual,Manual,First Owner
Hyundai Grand i10 2013,2013,124300.0,149248.0,Petrol,Trustmark Dealer,manual,First Owner
Tata Altroz 2014,2014,184000.0,108787.0,cng,dealer,manual,First Owner
Honda Amaze 2015,2015,229200.0,120091.0,petrol,INDIVIDUAL,manual,First Owner
Mahindra Thar 2011,2011,108200.0,162376.0,Diesel,trustmark dealer,automatic,Fourth & Above Owner
Toyota Etios 2017,2017,321200.0,84316.0,Diesel ,individual,MANUAL,Fourth & Above Owner
Toyota Glanza 2007,2007,81400.0,216237.0,PETROL,Dealer,Manual,Third Owner
Maruti Wagon R 2023,2023,639600.0,29327.0,electric,Dealer,Manual,First Owner
Renault Duster 2017,2017,280800.0,88931.0,PETROL,trustmark dealer, Automatic,Test Drive Car
Tata Harrier 2017,2017,259400.0,86365.0,cng,trustmark dealer,manual,First Owner
Toyota Innova 2018,2018,433200.0,86106.0,petrol,dealer,MANUAL,First Owner
Ford Aspire 2010,2010,99700.0,171566.0,Diesel,DEALER ,manual,First Owner
Maruti Ertiga 2015,2015,159500.0,122606.0, Petrol,individual,manual,First Owner
Mahindra Bolero 2023,2023,622900.0,18278.0,Diesel,dealer,Manual,Fourth & Above Owner
Audi A6 2008,2008,526700.0,204932.0,PETROL,DEALER ,Manual,First Owner
Maruti Wagon R 2017,2017,205700.0,102606.0,cng,Individual,MANUAL,First Owner
Maruti Vitara Brezza 2023,2023,541000.0,18620.0,Diesel,Dealer,Manual,First Owner
Renault Kwid 2021,2021,372600.0,44763.0,PETROL,Dealer,Manual,Third Owner
Ford Endeavour 2007,2007,86500.0,211588.0,CNG,Trustmark Dealer, Automatic,First Owner
Maruti Dzire 2022,2022,543500.0,18651.0,Petrol,Dealer,Automatic,First Owner
Hyundai Grand i10 2014,2014,189200.0,138273.0,Diesel,INDIVIDUAL,manual,First Owner
Renault Duster 2019,2019,289300.0,64672.0,petrol,Individual,MANUAL,First Owner
Mahindra Scorpio 2010,2010,158600.0,170802.0,Petrol,INDIVIDUAL,Automatic,First Owner
Toyota Innova 2009,2009,109300.0,197864.0,CNG,individual,MANUAL,Second Owner
Toyota Glanza 2023,2023,1055500.0,20118.0,diesel,individual,manual,First Owner
Hyundai Creta 2009,2009,75500.0,180294.0,CNG,Trustmark Dealer,MANUAL,Third Owner
Mahindra XUV300 2009,2009,130900.0,204543.0,Diesel ,Individual,MANUAL,First Owner
Maruti Wagon R 2007,2007,63000.0,218751.0,DIESEL,Dealer,Manual,First Owner
Renault Duster 2009,2009,76800.0,181528.0,Diesel,individual,Manual,First Owner
Toyota Yaris 2021,2021,614700.0,18173.0,petrol,Dealer,manual,Third Owner
Skoda Rapid 2007,2007,89000.0,223270.0,DIESEL,INDIVIDUAL,MANUAL,Third Owner
Volkswagen Ameo 2017,2017,332400.0,84239.0,DIESEL,Individual,Manual,Second Owner
Tata Altroz 2007,2007,63200.0,204177.0,DIESEL,Dealer,MANUAL,Second Owner
  Mahindra Bolero 2009  ,2009,123700.0,185806.0,diesel,INDIVIDUAL,Automatic,Second Owner
Ford EcoSport 2023,2023,758400.0,5617.0,PETROL,dealer,manual,First Owner
Renault Triber 2019,2019,327000.0,69588.0,Diesel,INDIVIDUAL,MANUAL,First Owner
Honda Civic 2019,2019,501300.0,66471.0,Diesel,individual,Manual,First Owner
Hyundai Venue 2011,2011,106000.0,166804.0,,trustmark dealer,Manual,Test Drive Car
BMW X1 2020,2020,2458500.0,39275.0,petrol,dealer,manual,First Owner
Hyundai Verna 2022,2022,751100.0,33193.0,DIESEL,DEALER , Automatic,First Owner
  Volkswagen Ameo 2012  ,2012,110500.0,156447.0,LPG,Dealer,Manual,Second Owner
Ford EcoSport 2019,2019,449000.0,67096.0,Diesel ,Individual,manual,First Owner
Maruti Alto 2020,2020,223700.0,58409.0,Petrol,dealer,manual,Fourth & Above Owner
Toyota Yaris 2007,2007,90300.0,197177.0,PETROL,dealer,MANUAL,First Owner
Ford Aspire 2010,2010,118200.0,183663.0, Petrol,DEALER , Automatic,First Owner
Toyota Yaris 2008,2008,103300.0,212939.0,DIESEL,dealer,manual,First Owner
Toyota Fortuner 2010,2010,158000.0,185085.0,Diesel,Individual,MANUAL,First Owner
Maruti Vitara Brezza 2017,2017,193900.0,97270.0,diesel,Dealer,Manual,First Owner
Volkswagen Ameo 2012,2012,136200.0,151348.0, Petrol,Individual,MANUAL,First Owner
Mahindra Scorpio 2009,2009,87800.0,184555.0,petrol,dealer,manual,Third Owner
Ford Aspire 2015,2015,220000.0,116829.0,DIESEL,DEALER ,Manual,First Owner
Audi A4 2015,2015,1088400.0,125910.0,petrol,individual,MANUAL,First Owner
Audi A6 2012,2012,644100.0,149922.0,,Individual,Manual,Third Owner
Mahindra Scorpio 2007,2007,83300.0,200358.0,DIESEL,individual,manual,First Owner
Honda WR-V 2019,2019,334500.0,67216.0,PETROL,Dealer,manual,Third Owner
BMW X1 2015,2015,1136500.0,115544.0,diesel,DEALER ,MANUAL,Second Owner
Renault Duster 2022,2022,423100.0,17896.0,petrol,trustmark dealer,manual,Second Owner
Ford Aspire 2020,2020,584700.0,50834.0,Electric,DEALER ,MANUAL,First Owner
Hyundai Verna 2010,2010,79200.0,185520.0,Petrol,individual,manual,Third Owner
Maruti Wagon R 2017,2017,188900.0,96907.0,DIESEL,dealer,MANUAL,Second Owner
Skoda Rapid 2019,2019,491500.0,81413.0, Petrol,Individual,manual,First Owner
Toyota Fortuner 2008,2008,122200.0,201950.0,diesel,INDIVIDUAL,Manual,First Owner
Maruti Vitara Brezza 2020,2020,351800.0,61838.0,Diesel ,Individual, Automatic,Second Owner
Hyundai i20 2016,2016,237300.0,112960.0,Diesel,individual,automatic,Second Owner
Volkswagen Polo 2018,2018,363600.0,82242.0,DIESEL,individual,Manual,Second Owner
Renault Kwid 2020,2020,311400.0,40248.0,Diesel ,INDIVIDUAL,manual,Second Owner
Ford Aspire 2019,2019,488400.0,49060.0,Petrol,Individual,Automatic,First Owner
Maruti Alto 2018,2018,215400.0,92155.0,Diesel,Dealer,MANUAL,Third Owner
  Toyota Glanza 2015  ,2015,267600.0,136534.0,Petrol,Dealer,Manual,First Owner
Tata Safari 2022,2022,560200.0,26407.0,PETROL,DEALER ,manual,First Owner
Maruti Baleno 2011,2011,79100.0,171009.0,cng,INDIVIDUAL,Manual,Second Owner
Toyota Innova 2023,2023,1049200.0,32162.0,Petrol,INDIVIDUAL,manual,First Owner
Hyundai i20 2009,2009,91800.0,182403.0,DIESEL,dealer,Manual,Test Drive Car
Toyota Yaris 2020,2020,786200.0,54832.0,DIESEL,Dealer,Automatic,First Owner
Hyundai Grand i10 2019,2019,336700.0,67181.0,PETROL,INDIVIDUAL,Manual,Second Owner
Tata Nexon 2015,2015,217900.0,122906.0,diesel,INDIVIDUAL,Automatic,Second Owner
Mahindra Scorpio 2011,2011,82000.0,164504.0,Petrol,individual,manual,Fourth & Above Owner
Mahindra XUV300 2007,2007,105300.0,219162.0,Diesel ,Dealer,MANUAL,First Owner
Maruti Wagon R 2020,2020,287700.0,52448.0, Petrol,INDIVIDUAL,Manual,First Owner
Maruti Alto 2017,2017,186100.0,106131.0,diesel,individual,Manual,Second Owner
Honda Jazz 2019,2019,388200.0,61155.0,diesel,INDIVIDUAL,manual,Second Owner
Honda Amaze 2008,2008,90600.0,185430.0,electric,Individual,manual,First Owner
BMW 3 Series 2019,2019,1859300.0,83307.0,PETROL,Dealer,Manual,First Owner
Ford Figo 2019,2019,456600.0,70664.0, Petrol,trustmark dealer,manual,First Owner
Ford Figo 2011,2011,92700.0,145240.0,lpg,DEALER ,Manual,Third Owner
Volkswagen Vento 2017,2017,313600.0,89873.0, Petrol,individual,Manual,First Owner
Tata Altroz 2007,2007,48500.0,223479.0, Petrol,DEALER ,MANUAL,Fourth & Above Owner
Renault Triber 2012,2012,79600.0,158946.0,CNG,Trustmark Dealer,Manual,Second Owner
Maruti Vitara Brezza 2008,2008,53800.0,,PETROL,INDIVIDUAL,manual,First Owner
Volkswagen Ameo 2023,2023,954200.0,24224.0,PETROL,DEALER ,MANUAL,First Owner
Tata Altroz 2013,2013,138400.0,123408.0,DIESEL,individual,MANUAL,Second Owner
BMW 3 Series 2018,2018,1510900.0,77844.0,diesel,dealer,Automatic,Fourth & Above Owner
Honda Amaze 2018,2018,233000.0,87431.0,petrol,Individual,MANUAL,Fourth & Above Owner
Maruti Wagon R 2009,2009,66500.0,184260.0,diesel,individual,manual,First Owner
Tata Harrier 2021,2021,489100.0,41545.0,PETROL,Individual,manual,First Owner
Volkswagen Vento 2007,2007,73200.0,215528.0,petrol,Individual,manual,Second Owner
Renault Kwid 2020,2020,369500.0,46943.0,DIESEL,dealer,MANUAL,Second Owner
Tata Nexon 2008,2008,73300.0,196708.0,PETROL,Dealer,Manual,Second Owner
  Mahindra XUV500 2018  ,2018,319000.0,86775.0,petrol,dealer,manual,Second Owner
